"altitude","temperature","pressure","density","speed_of_sound","viscosity"
9500,226.4,28523.6,0.438901,301.636,0.0000148696
9600,225.75,28095.8,0.433563,301.203,0.0000148335
9700,225.1,27673.2,0.428275,300.769,0.0000147973
9800,224.45,27255.8,0.423036,300.334,0.000014761
9900,223.8,26843.5,0.417847,299.899,0.0000147247
10000,223.15,26436.3,0.412707,299.463,0.0000146884
10100,222.5,26034,0.407615,299.027,0.000014652
10200,221.85,25636.8,0.402571,298.59,0.0000146156
10300,221.2,25244.5,0.397575,298.152,0.0000145792
10400,220.55,24857,0.392627,297.714,0.0000145426
10500,219.9,24474.4,0.387725,297.275,0.0000145061
10600,219.25,24096.5,0.382871,296.835,0.0000144695
10700,218.6,23723.4,0.378064,296.395,0.0000144328
10800,217.95,23355,0.373303,295.954,0.0000143962
10900,217.3,22991.2,0.368588,295.512,0.0000143594
11000,216.65,22632.1,0.363918,295.07,0.0000143226
11100,216.65,22278,0.358224,295.07,0.0000143226
11200,216.65,21929.4,0.35262,295.07,0.0000143226
11300,216.65,21586.3,0.347103,295.07,0.0000143226
11400,216.65,21248.6,0.341673,295.07,0.0000143226
11500,216.65,20916.2,0.336327,295.07,0.0000143226
11600,216.65,20589,0.331065,295.07,0.0000143226
11700,216.65,20266.8,0.325886,295.07,0.0000143226
11800,216.65,19949.8,0.320787,295.07,0.0000143226
11900,216.65,19637.6,0.315768,295.07,0.0000143226
12000,216.65,19330.4,0.310828,295.07,0.0000143226
12100,216.65,19028,0.305965,295.07,0.0000143226
12200,216.65,18730.3,0.301178,295.07,0.0000143226
12300,216.65,18437.2,0.296466,295.07,0.0000143226
12400,216.65,18148.8,0.291828,295.07,0.0000143226
12500,216.65,17864.8,0.287262,295.07,0.0000143226
12600,216.65,17585.4,0.282768,295.07,0.0000143226
12700,216.65,17310.2,0.278344,295.07,0.0000143226
12800,216.65,17039.4,0.273989,295.07,0.0000143226
12900,216.65,16772.8,0.269703,295.07,0.0000143226
13000,216.65,16510.4,0.265483,295.07,0.0000143226
13100,216.65,16252.1,0.26133,295.07,0.0000143226
13200,216.65,15997.8,0.257241,295.07,0.0000143226
13300,216.65,15747.5,0.253217,295.07,0.0000143226
13400,216.65,15501.2,0.249255,295.07,0.0000143226
13500,216.65,15258.7,0.245355,295.07,0.0000143226
13600,216.65,15019.9,0.241517,295.07,0.0000143226
13700,216.65,14784.9,0.237738,295.07,0.0000143226
13800,216.65,14553.6,0.234019,295.07,0.0000143226
13900,216.65,14325.9,0.230357,295.07,0.0000143226
14000,216.65,14101.8,0.226753,295.07,0.0000143226
14100,216.65,13881.2,0.223206,295.07,0.0000143226
14200,216.65,13664,0.219714,295.07,0.0000143226
14300,216.65,13450.2,0.216276,295.07,0.0000143226
14400,216.65,13239.8,0.212893,295.07,0.0000143226
14500,216.65,13032.7,0.209562,295.07,0.0000143226
14600,216.65,12828.8,0.206283,295.07,0.0000143226
14700,216.65,12628.1,0.203056,295.07,0.0000143226
14800,216.65,12430.5,0.199879,295.07,0.0000143226
14900,216.65,12236,0.196752,295.07,0.0000143226
15000,216.65,12044.6,0.193674,295.07,0.0000143226
15100,216.65,11856.1,0.190644,295.07,0.0000143226
15200,216.65,11670.6,0.187661,295.07,0.0000143226
15300,216.65,11488.1,0.184725,295.07,0.0000143226
15400,216.65,11308.3,0.181835,295.07,0.0000143226
15500,216.65,11131.4,0.17899,295.07,0.0000143226
15600,216.65,10957.2,0.17619,295.07,0.0000143226
15700,216.65,10785.8,0.173433,295.07,0.0000143226
15800,216.65,10617.1,0.17072,295.07,0.0000143226
15900,216.65,10451,0.168049,295.07,0.0000143226
16000,216.65,10287.5,0.16542,295.07,0.0000143226
16100,216.65,10126.5,0.162832,295.07,0.0000143226
16200,216.65,9968.08,0.160284,295.07,0.0000143226
16300,216.65,9812.13,0.157777,295.07,0.0000143226
16400,216.65,9658.61,0.155308,295.07,0.0000143226
16500,216.65,9507.5,0.152878,295.07,0.0000143226
16600,216.65,9358.76,0.150487,295.07,0.0000143226
16700,216.65,9212.34,0.148132,295.07,0.0000143226
16800,216.65,9068.21,0.145815,295.07,0.0000143226
16900,216.65,8926.34,0.143533,295.07,0.0000143226
17000,216.65,8786.68,0.141288,295.07,0.0000143226
17100,216.65,8649.21,0.139077,295.07,0.0000143226
17200,216.65,8513.89,0.136901,295.07,0.0000143226
17300,216.65,8380.69,0.134759,295.07,0.0000143226
17400,216.65,8249.58,0.132651,295.07,0.0000143226
17500,216.65,8120.51,0.130576,295.07,0.0000143226
17600,216.65,7993.46,0.128533,295.07,0.0000143226
17700,216.65,7868.4,0.126522,295.07,0.0000143226
17800,216.65,7745.3,0.124543,295.07,0.0000143226
17900,216.65,7624.13,0.122594,295.07,0.0000143226
18000,216.65,7504.84,0.120676,295.07,0.0000143226
18100,216.65,7387.43,0.118788,295.07,0.0000143226
18200,216.65,7271.85,0.11693,295.07,0.0000143226
18300,216.65,7158.08,0.1151,295.07,0.0000143226
18400,216.65,7046.09,0.113299,295.07,0.0000143226
18500,216.65,6935.86,0.111527,295.07,0.0000143226
18600,216.65,6827.34,0.109782,295.07,0.0000143226
18700,216.65,6720.53,0.108064,295.07,0.0000143226
18800,216.65,6615.39,0.106374,295.07,0.0000143226
18900,216.65,6511.89,0.10471,295.07,0.0000143226
19000,216.65,6410.01,0.103071,295.07,0.0000143226
19100,216.65,6309.72,0.101459,295.07,0.0000143226
19200,216.65,6211,0.0998714,295.07,0.0000143226
19300,216.65,6113.83,0.0983089,295.07,0.0000143226
19400,216.65,6018.18,0.0967709,295.07,0.0000143226
19500,216.65,5924.03,0.0952569,295.07,0.0000143226
19600,216.65,5831.34,0.0937666,295.07,0.0000143226
19700,216.65,5740.11,0.0922996,295.07,0.0000143226
19800,216.65,5650.31,0.0908555,295.07,0.0000143226
19900,216.65,5561.91,0.0894341,295.07,0.0000143226
20000,216.65,5474.89,0.0880349,295.07,0.0000143226
